Коричневый;5;A52A2A;0
Красный;5;FF0000;0
Красный / бежевый;5;FF0000;1
Красный / белый;5;FF0000;1
Красный / Голубой;5;FF0000;1
Красный / золотой;5;FF0000;1
Красный / коричнев.;5;FF0000;1
Красный / коричневый;5;FF0000;1
Красный / коричневый / золотой;5;FF0000;1
Красный / леопардовый;5;FF0000;1
Красный / оранжевый;5;FF0000;1
Красный / серебреный;5;FF0000;1
Красный / тем. серый;5;FF0000;1
Красный / тем. синий;5;FF0000;1
Красный / черный;5;FF0000;1
Красный / черный / серый;5;FF0000;1
Красный/желтый;5;FF0000;1
Красный/золотой;5;FF0000;1
Малиновый;5;DC143C;0
Рубиновый;5;800000;0
Рыжий;5;FF4500;0
Св. красный;5;FF3333;0
Тем. бордовый;5;800000;0
Тем. коричневый;5;A52A2A;0
Тем. красный;5;800000;0
Бежевый;6;F5F5DC;0
Бело-красный;6;FFFFFF;0
Бело-серый;6;FFFFFF;0
Белый ;6;FFFFFF;0
Белый;6;FFFFFF;0
Белый /  серый;6;FFFFFF;1
Белый / бежевый;6;FFFFFF;1
Белый / бежевый / коричневый;6;FFFFFF;1
Белый / бирюзовый;6;FFFFFF;1
Белый / голубой;6;FFFFFF;1
Белый / голубой / желтый;6;FFFFFF;1
Белый / голубой / розовый;6;FFFFFF;1
Белый / желтый;6;FFFFFF;1
Белый / желтый / оранжевый;6;FFFFFF;1
Белый / зеленый;6;FFFFFF;1
Белый / золотой;6;FFFFFF;1
Белый / коричнев.;6;FFFFFF;1
Белый / коричневый;6;FFFFFF;1
Белый / коричневый / зеленый;6;FFFFFF;1
Белый / коричневый / леопардовый;6;FFFFFF;1
Белый / красный;6;FFFFFF;1
Белый / леопард;6;FFFFFF;1
Белый / малиновый;6;FFFFFF;1
Белый / молочный;6;FFFFFF;1
Белый / оранжевый;6;FFFFFF;1
Белый / оранжевый / желтый;6;FFFFFF;1
Белый / розовый;6;FFFFFF;1
Белый / св. бежевый;6;FFFFFF;1
Белый / св. зеленый;6;FFFFFF;1
Белый / св. золотой;6;FFFFFF;1
Белый / серебряный;6;FFFFFF;1
Белый / серый;6;FFFFFF;1
Белый / серый / желтый;6;FFFFFF;1
Белый / серый / оранжевый;6;FFFFFF;1
Белый / серый / синий;6;FFFFFF;1
Белый / синий;6;FFFFFF;1
Белый / синий / красный;6;FFFFFF;1
Белый / синий /красный;6;FFFFFF;1
Белый / синий /оранжевый;6;FFFFFF;1
